id,day,session_block,sequence,presenter,title,role,source_file,start,end,output_vtt,output_txt,notes,divergence
2026-03-03-Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers-03-Joe-Sullivan-AI-Notetakers-The-Most-Impo,2026-03-03,Stage 1 Early Afternoon Attack Surface Browser Exploitation AI Notetakers,3,Joe Sullivan,AI Notetakers: The Most Important Person in the Room,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T204939Z__83377163171__dr-at-secwest.net__Stage-1-Early-Afternoon-Attack-Surface-Browser-Exploitation-AI-Notetakers__audio_transcript__6e9e8de3-483f-4e65-8370-3098c4f706c4.vtt,00:36:05.000,00:55:31.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__03__Joe-Sullivan__AI-Notetakers-The-Most-Important-Person-in-the-R__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Early-Afternoon-Attack-S__03__Joe-Sullivan__AI-Notetakers-The-Most-Important-Person-in-the-R__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-01-Adam-Laurie-AI-go-Beep-Boop,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,1,Adam Laurie,AI go Beep Boop!,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:01:00.000,00:27:32.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__01__Adam-Laurie__AI-go-Beep-Boop__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__01__Adam-Laurie__AI-go-Beep-Boop__presenter.txt,,Adam Laurie's talk appears in the late-afternoon file rather than the prior early-afternoon file.
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-02-Gadi-Evron-Post-Adam-host-remarks-and-Rami-McCar,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,2,Gadi Evron,Post-Adam host remarks and Rami McCarthy intro,host,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:27:32.000,00:30:32.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__02__Gadi-Evron__Post-Adam-host-remarks-and-Rami-McCarthy-intro__host.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__02__Gadi-Evron__Post-Adam-host-remarks-and-Rami-McCarthy-intro__host.txt,Separated because the user asked for Gadi's host comments to be split out.,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-03-Rami-McCarthy-Zeal-of-the-Convert-Taming-Shai-Hu,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,3,Rami McCarthy,Zeal of the Convert: Taming Shai-Hulud with AI,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:30:35.000,00:53:56.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__03__Rami-McCarthy__Zeal-of-the-Convert-Taming-Shai-Hulud-with-AI__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__03__Rami-McCarthy__Zeal-of-the-Convert-Taming-Shai-Hulud-with-AI__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-04-Daniel-Miessler-Anatomy-of-an-Agentic-Personal-A,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,4,Daniel Miessler,Anatomy of an Agentic Personal AI Infrastructure,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,00:54:34.000,01:22:02.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__04__Daniel-Miessler__Anatomy-of-an-Agentic-Personal-AI-Infrastructure__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__04__Daniel-Miessler__Anatomy-of-an-Agentic-Personal-AI-Infrastructure__presenter.txt,,Daniel Miessler's talk appears here even though it was missing from the public slide deck list.
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-05-Nicholas-Carlini-Black-hat-LLMs,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,5,Nicholas Carlini,Black-hat LLMs,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,01:22:36.000,01:47:52.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__05__Nicholas-Carlini__Black-hat-LLMs__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__05__Nicholas-Carlini__Black-hat-LLMs__presenter.txt,,
2026-03-03-Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats-06-Piotr-Ryciak-Vibe-Check-Security-Failures-in-AI,2026-03-03,Stage 1 Late Afternoon Hardware Hacking Post-Training LLM Threats,6,Piotr Ryciak,Vibe Check: Security Failures in AI-Assisted IDEs,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T224142Z__84095825429__dr-at-secwest.net__Stage-1-Late-Afternoon-Hardware-Hacking-Post-Training-LLM-Threats__audio_transcript__0bab1277-dfd8-4d45-9f47-80c8658c097a.vtt,01:48:50.000,02:14:41.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-1-Late-Afternoon-Hardware__06__Piotr-Ryciak__Vibe-Check-Security-Failures-in-AI-Assisted-IDEs__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-1-Late-Afternoon-Hardware__06__Piotr-Ryciak__Vibe-Check-Security-Failures-in-AI-Assisted-IDEs__presenter.txt,,
2026-03-03-Stage-2-Morning-AI-Governance-01-Billy-Norwood-Establishing-AI-Governance-Without-Stifling-Innovation,2026-03-03,Stage 2 Morning AI Governance,1,Billy Norwood,Establishing AI Governance Without Stifling Innovation,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152817Z__86896161688__dr-at-secwest.net__Stage-2-Morning-AI-Governance__audio_transcript__b43fd2f8-1b2d-4ccb-8e06-53a16996f74d.vtt,00:04:01.000,00:29:21.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Morning-AI-Governance__01__Billy-Norwood__Establishing-AI-Governance-Without-Stifling-Inno__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Morning-AI-Governance__01__Billy-Norwood__Establishing-AI-Governance-Without-Stifling-Inno__presenter.txt,,
2026-03-03-Stage-2-Morning-AI-Governance-02-Ragini-Ramalingam-Enterprise-AI-Governance-at-Snowflake-Balancing-Innovation-and-Ris,2026-03-03,Stage 2 Morning AI Governance,2,Ragini Ramalingam,Enterprise AI Governance at Snowflake: Balancing Innovation and Risk,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T152817Z__86896161688__dr-at-secwest.net__Stage-2-Morning-AI-Governance__audio_transcript__b43fd2f8-1b2d-4ccb-8e06-53a16996f74d.vtt,00:30:08.000,00:55:29.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Morning-AI-Governance__02__Ragini-Ramalingam__Enterprise-AI-Governance-at-Snowflake-Balancing__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Morning-AI-Governance__02__Ragini-Ramalingam__Enterprise-AI-Governance-at-Snowflake-Balancing__presenter.txt,,
2026-03-03-Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection-01-Chase-Hasbrouck-Three-Phases-of-AI-Adoption-From-GPU-Lottery,2026-03-03,Stage 2 Late Morning Military AI DFIR GenAI Detection,1,Chase Hasbrouck,Three Phases of AI Adoption: From GPU Lottery to Enterprise Agreements,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184601Z__88306059555__dr-at-secwest.net__Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection__audio_transcript__7017aefa-57a1-44e0-85c7-cfe43f11d48b.vtt,00:00:44.000,00:23:45.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Late-Morning-Military-AI__01__Chase-Hasbrouck__Three-Phases-of-AI-Adoption-From-GPU-Lottery-to__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Late-Morning-Military-AI__01__Chase-Hasbrouck__Three-Phases-of-AI-Adoption-From-GPU-Lottery-to__presenter.txt,,Chase Hasbrouck's talk spills over from the Stage 2 morning recording into this late-morning file.
2026-03-03-Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection-02-Rob-T.-Lee-SIFT-FIND-EVIL-I-Gave-Claude-Code-R00t-on-the-DFI,2026-03-03,Stage 2 Late Morning Military AI DFIR GenAI Detection,2,Rob T. Lee,SIFT - FIND EVIL!! I Gave Claude Code R00t on the DFIR SIFT Workstation,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184601Z__88306059555__dr-at-secwest.net__Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection__audio_transcript__7017aefa-57a1-44e0-85c7-cfe43f11d48b.vtt,00:24:47.000,00:48:22.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Late-Morning-Military-AI__02__Rob-T.-Lee__SIFT-FIND-EVIL-I-Gave-Claude-Code-R00t-on-the-DF__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Late-Morning-Military-AI__02__Rob-T.-Lee__SIFT-FIND-EVIL-I-Gave-Claude-Code-R00t-on-the-DF__presenter.txt,,
2026-03-03-Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection-03-Mika-Ayenson-GenAI-Endpoint-Observability,2026-03-03,Stage 2 Late Morning Military AI DFIR GenAI Detection,3,Mika Ayenson,GenAI Endpoint Observability,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184601Z__88306059555__dr-at-secwest.net__Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection__audio_transcript__7017aefa-57a1-44e0-85c7-cfe43f11d48b.vtt,00:48:48.000,01:12:17.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Late-Morning-Military-AI__03__Mika-Ayenson__GenAI-Endpoint-Observability__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Late-Morning-Military-AI__03__Mika-Ayenson__GenAI-Endpoint-Observability__presenter.txt,,
2026-03-03-Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection-04-Mohamed-Nabeel-Detecting-GenAI-Threats-at-Scale-with-YARA-Li,2026-03-03,Stage 2 Late Morning Military AI DFIR GenAI Detection,4,Mohamed Nabeel,Detecting GenAI Threats at Scale with YARA-Like Semantic Rules,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T184601Z__88306059555__dr-at-secwest.net__Stage-2-Late-Morning-Military-AI-DFIR-GenAI-Detection__audio_transcript__7017aefa-57a1-44e0-85c7-cfe43f11d48b.vtt,01:12:33.000,01:31:09.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Late-Morning-Military-AI__04__Mohamed-Nabeel__Detecting-GenAI-Threats-at-Scale-with-YARA-Like__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Late-Morning-Military-AI__04__Mohamed-Nabeel__Detecting-GenAI-Threats-at-Scale-with-YARA-Like__presenter.txt,,
2026-03-03-Stage-2-Early-Afternoon-Confidential-AI-Synthetic-Vulns-01-Raghu-Yeluri-The-Advent-of-Confidential-AI,2026-03-03,Stage 2 Early Afternoon Confidential AI Synthetic Vulns,1,Raghu Yeluri,The Advent of Confidential AI,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T202444Z__88453714013__dr-at-secwest.net__Stage-2-Early-Afternoon-Confidential-AI-Synthetic-Vulns__audio_transcript__ed382938-d51d-4135-a3aa-e1eaf86d2e66.vtt,00:00:52.000,00:25:21.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Early-Afternoon-Confiden__01__Raghu-Yeluri__The-Advent-of-Confidential-AI__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Early-Afternoon-Confiden__01__Raghu-Yeluri__The-Advent-of-Confidential-AI__presenter.txt,,
2026-03-03-Stage-2-Early-Afternoon-Confidential-AI-Synthetic-Vulns-02-Aaron-Grattafiori-and-Skylar-Tenderizing-the-Target-Soakin,2026-03-03,Stage 2 Early Afternoon Confidential AI Synthetic Vulns,2,Aaron Grattafiori and Skylar,Tenderizing the Target: Soaking Code in Synthetic Vulnerabilities,presenter,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\vtt\2026-03-03T202444Z__88453714013__dr-at-secwest.net__Stage-2-Early-Afternoon-Confidential-AI-Synthetic-Vulns__audio_transcript__ed382938-d51d-4135-a3aa-e1eaf86d2e66.vtt,00:29:33.000,00:55:28.000,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\vtt\2026-03-03__Stage-2-Early-Afternoon-Confiden__02__Aaron-Grattafiori-and-Skylar__Tenderizing-the-Target-Soaking-Code-in-Synthetic__presenter.vtt,C:\Users\dr\Documents\unprompted\data\unpromptedcon-org\presenters\txt\2026-03-03__Stage-2-Early-Afternoon-Confiden__02__Aaron-Grattafiori-and-Skylar__Tenderizing-the-Target-Soaking-Code-in-Synthetic__presenter.txt,The transcript clearly shows Aaron handing the Project Marinade talk to Skylar mid-presentation.,
